Senior Citizen,Partner,Tenure,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn,Age,Married,Number of Dependents,CLTV,Population,Internet Service_Fiber optic,Internet Service_No,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,27,0,0,6292,10470,True,False,False,False,False,False,False
0,1,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,36,1,0,6091,105285,False,False,False,True,False,False,False
0,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,43,1,0,4948,21397,False,False,True,False,True,False,False
0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,41,0,2,5571,8321,True,False,False,False,False,True,False
0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,53,0,0,5387,11355,False,False,False,False,False,True,False
0,1,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,32,1,0,3817,47305,True,False,True,False,False,True,False
0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,61,0,0,4984,51387,False,False,False,True,False,False,True
0,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,37,1,0,5849,29825,False,True,False,True,False,False,False
0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,29,0,0,5983,31963,True,False,False,False,False,False,True
0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,39,0,0,3178,15195,False,False,False,False,False,False,True
0,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,24,1,0,5482,24908,False,True,True,False,False,True,False
1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,71,1,0,4881,40152,True,False,False,True,False,False,False
0,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,40,1,0,4444,42459,False,True,False,True,False,False,False
0,0,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,51,0,3,5613,16041,False,False,False,False,False,False,False
1,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,73,0,0,4463,47758,True,False,True,False,False,True,False
0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,50,0,0,2867,9960,False,False,True,False,True,False,False
0,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,62,1,1,5614,26442,False,False,False,False,False,False,True
1,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,80,0,0,3033,93315,False,False,False,False,False,True,False
0,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,48,1,0,5741,18693,False,True,True,False,True,False,False
0,0,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,32,0,3,2483,78114,True,False,False,False,False,True,False
0,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,23,1,1,3443,33300,False,False,False,False,False,True,False
0,1,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,34,1,5,3457,69850,True,False,False,False,False,False,False
0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,38,0,0,4005,11,True,False,False,False,False,False,False
0,1,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,31,1,0,5422,19630,False,True,False,True,False,False,False
0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,30,0,0,3540,33758,True,False,False,False,True,False,False
0,1,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,51,1,0,5255,28094,False,False,True,False,False,False,False
0,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,24,1,0,4124,22548,False,True,False,True,False,False,False
0,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,56,1,0,5480,24979,False,True,False,True,False,False,True
0,1,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,47,1,0,3664,41263,False,False,False,False,False,False,True
0,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,32,1,3,5036,34191,True,False,False,False,False,False,False
1,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,79,0,0,4182,37322,True,False,False,False,False,True,False
0,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,57,1,0,5825,96267,False,False,False,True,False,False,True
0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,50,0,0,5261,5451,True,False,False,False,True,False,False
0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,52,0,0,5781,31021,True,False,False,True,False,False,False
0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,34,0,3,5806,18058,True,False,False,False,False,True,False
0,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,50,1,0,4117,11264,False,False,True,False,True,False,False
0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,30,0,0,2604,37527,False,True,False,False,False,False,True
0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,62,0,0,4158,30779,False,True,False,True,False,False,False
1,1,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,78,1,1,5337,27778,True,False,False,False,False,True,False
0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,19,0,0,2710,28680,False,True,False,False,False,False,True
0,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,38,1,2,5612,13779,False,True,False,False,False,True,False
0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,34,0,0,4741,5221,True,False,True,False,False,False,False
1,1,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,65,1,0,6238,11509,False,False,True,False,False,False,False
0,1,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,26,1,0,5034,23559,True,False,False,True,False,False,False
0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,35,0,0,4015,19975,False,False,False,False,False,False,True
0,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,25,1,0,4594,26099,True,False,True,False,False,True,False
0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,60,0,0,3585,40705,False,False,True,False,False,False,True
0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,50,0,0,5845,17058,True,False,True,False,False,False,True
0,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,38,1,0,5234,41979,False,True,False,True,True,False,False
0,1,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,37,1,1,5154,31678,True,False,False,False,False,True,False
0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,35,0,0,6078,34873,False,False,True,False,True,False,False
0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,36,0,0,3826,32050,True,False,False,False,False,True,False
1,1,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,80,1,1,2793,26265,True,False,False,False,False,True,False
0,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,48,1,0,4850,19109,False,False,False,True,False,True,False
0,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,38,1,2,4648,37887,True,False,False,False,False,True,False
0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,61,0,0,4871,38181,False,False,False,True,False,False,False
0,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,62,1,2,5998,32148,True,False,False,False,False,True,False
0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,53,0,0,5918,44442,False,True,False,True,False,False,True
0,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,33,1,1,3796,33528,True,False,False,False,True,False,False
0,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,27,1,0,4606,15505,True,False,True,False,True,False,False
0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,31,0,0,5346,47344,False,True,False,False,False,False,True
0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,21,0,2,4415,67354,True,False,False,False,False,True,False
0,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,20,1,2,3097,47568,False,False,False,False,False,False,True
0,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,27,1,1,3172,62425,False,True,False,False,False,False,True
0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,59,0,0,5087,103214,True,False,False,True,False,True,False
1,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,72,0,1,4638,63288,True,False,False,False,False,True,False
0,1,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,46,1,0,5901,16271,False,True,False,True,False,False,False
0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,45,0,0,2484,29694,False,True,False,False,False,False,True
1,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,73,0,0,5372,16398,False,False,True,False,False,True,False
0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,49,0,0,5886,51556,True,False,False,False,False,True,False
0,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,27,1,0,4190,3699,False,False,False,False,True,False,False
0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,60,0,0,6064,72893,False,False,False,True,False,False,False
0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,64,0,0,2301,24660,False,False,False,False,False,True,False
0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,45,0,0,2570,30173,False,False,False,False,False,True,False
0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,42,0,0,2017,27563,False,True,False,True,True,False,False
0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,37,0,0,2221,20890,True,False,False,False,False,False,False
0,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,23,1,0,4557,14852,False,True,False,True,False,False,True
0,0,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,58,0,0,4393,21065,False,True,False,True,False,False,True
1,1,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,76,1,2,3964,21343,True,False,False,False,False,False,True
1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,71,1,0,6102,55306,False,False,False,True,True,False,False
0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,53,0,0,2662,58639,False,False,False,False,False,True,False
0,1,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,35,1,0,6311,21279,True,False,False,True,False,False,False
0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,34,0,0,5044,24180,True,False,True,False,True,False,False
1,1,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,66,1,0,4329,1107,False,True,False,True,False,False,False
0,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,56,1,0,5878,174,True,False,False,True,True,False,False
0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,42,0,0,2543,53323,False,True,True,False,False,False,True
0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,63,0,0,2600,55486,False,False,False,False,False,True,False
0,0,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,52,0,0,4320,25566,False,False,True,False,True,False,False
0,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,50,1,1,3128,38427,False,False,False,False,False,False,True
0,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,33,1,1,3123,31352,False,False,False,False,False,True,False
0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,32,0,4,2786,43467,True,False,False,False,False,False,True
0,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,27,1,0,5192,91664,True,False,True,False,True,False,False
0,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,51,1,0,5769,49647,False,False,False,True,False,True,False
0,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,29,1,3,4293,31556,False,True,False,False,False,False,True
0,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,33,1,1,2563,37417,True,False,False,False,False,False,False
0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,23,0,0,3549,35656,True,False,False,False,False,False,False
0,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,37,1,0,2173,63136,False,True,True,False,False,False,True
0,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,38,1,0,5511,19034,False,False,False,True,False,False,True
0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,44,0,0,3611,38902,False,True,False,True,False,False,False
0,0,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,63,0,1,5156,425,False,False,False,False,False,True,False
0,1,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,26,1,1,5719,36243,True,False,False,False,False,True,False
0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,54,0,0,3056,30028,True,False,False,False,False,True,False
0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,0,35,0,0,5644,30933,False,False,False,True,False,False,False
0,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,21,1,0,4047,27414,False,True,True,False,False,False,True
0,1,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,0,40,1,0,5570,20200,False,True,False,True,False,False,True
0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,1,42,0,1,4287,41067,True,False,False,False,False,False,False
0,1,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,0,39,1,0,6212,7527,False,False,False,True,False,False,False
1,1,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,66,1,0,5444,10558,False,False,False,False,False,True,False
0,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,0,59,1,2,3990,23984,False,True,False,False,False,True,False
0,1,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,0,61,1,0,4382,18752,True,False,True,False,False,False,False
0,1,2,1,1,0,0,1,1,1,1,1,104.4,242.8,1,26,1,3,4690,26753,True,False,False,False,False,True,False
0,1,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,48,1,0,2564,16812,False,False,False,True,False,False,True
0,1,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,1,24,1,0,4328,27891,True,False,True,False,False,False,False
0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,0,61,0,0,5358,38460,False,True,True,False,False,False,False
0,1,34,1,1,0,0,0,0,0,0,0,24.7,780.2,0,49,1,0,3421,10253,False,True,False,False,False,True,False
1,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,70,0,2,5717,23742,True,False,False,False,False,False,True
1,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,1,77,0,2,4419,32369,True,False,False,False,False,False,False
0,1,15,1,1,0,1,1,0,1,1,1,105.35,1559.25,0,19,1,3,2721,13158,True,False,False,False,False,False,False
0,1,61,1,0,0,0,0,0,0,0,1,20.55,1252.0,0,22,1,0,5110,23981,False,True,True,False,True,False,False
0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1,54,0,0,4534,21990,False,False,False,False,False,False,False
0,0,1,1,0,0,0,0,0,0,0,0,45.3,45.3,0,25,0,0,3575,14493,False,False,False,False,False,False,True
0,0,8,1,1,0,0,0,0,0,1,0,84.5,662.65,1,51,0,2,2152,17015,True,False,False,False,False,False,False
0,1,33,1,0,1,0,1,0,1,1,0,74.75,2453.3,0,35,1,0,5344,41390,False,False,True,False,True,False,False
0,0,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,1,48,0,3,5142,31297,True,False,False,False,False,True,False
0,1,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,29,1,0,4851,9864,False,False,False,False,False,True,False
0,0,20,1,0,0,1,0,0,0,0,1,51.8,1023.85,0,45,0,0,2764,16910,False,False,False,False,False,False,True
0,0,3,0,0,0,0,0,1,0,0,0,30.4,82.15,0,19,0,0,3108,29110,False,False,False,False,False,True,False
0,0,13,1,0,0,0,0,0,0,0,0,19.65,244.8,0,61,0,0,2024,25303,False,True,True,False,False,True,False
0,1,40,1,1,0,1,0,0,0,0,0,56.6,2379.1,0,62,1,0,3359,23661,False,False,False,False,True,False,False
0,1,43,1,1,1,0,0,1,0,1,1,71.9,3173.35,0,24,1,0,4106,23519,False,False,True,False,True,False,False
0,1,6,1,0,0,1,1,0,0,1,1,91.0,531.0,1,39,1,2,2283,49242,True,False,False,False,False,True,False
0,1,69,1,0,0,0,0,0,0,0,0,19.75,1375.4,0,38,1,0,5325,43857,False,True,False,True,False,False,False
0,1,72,1,1,1,1,1,0,1,1,0,109.7,8129.3,0,42,1,0,5945,23637,True,False,False,True,True,False,False
0,1,59,1,0,0,0,0,0,0,0,0,19.3,1192.7,0,33,1,0,4149,35325,False,True,False,True,True,False,False
0,1,20,1,0,1,1,0,1,1,0,1,96.55,1901.65,0,32,1,0,4382,27614,True,False,False,False,False,True,False
0,1,24,1,1,0,0,0,0,0,0,1,24.1,587.4,0,19,1,3,4634,37779,False,True,False,True,False,False,False
0,0,59,1,1,0,1,1,1,1,1,1,111.35,6519.75,0,19,0,0,6047,30742,True,False,False,False,False,True,False
0,1,72,1,1,0,1,1,1,1,1,1,112.25,8041.65,0,42,1,3,4099,25751,True,False,False,True,False,False,False
0,0,1,1,0,0,0,0,0,0,0,0,20.75,20.75,0,29,0,1,3358,32307,False,True,False,False,False,False,True
0,1,27,1,0,1,0,0,1,1,1,1,101.9,2681.15,0,55,1,0,3795,28067,True,False,True,False,True,False,False
0,0,14,1,0,0,1,0,1,0,0,1,80.05,1112.3,0,51,0,0,4400,97318,True,False,False,False,True,False,False
0,1,71,1,1,1,0,1,0,1,1,0,105.55,7405.5,0,55,1,3,5010,68018,True,False,False,True,False,True,False
0,0,13,1,0,0,0,0,0,1,0,1,78.3,1033.95,0,55,0,3,5566,33389,True,False,False,False,True,False,False
0,0,44,1,0,0,0,0,0,0,0,0,68.85,2958.95,0,41,0,0,2053,81986,True,False,False,False,True,False,False
0,0,33,1,0,0,1,0,1,0,0,1,79.95,2684.85,0,64,0,0,3118,57017,True,False,True,False,False,False,False
0,1,72,0,0,1,1,1,1,0,1,1,55.45,4179.2,0,30,1,0,4556,48867,False,False,False,True,True,False,False
0,0,1,1,0,0,0,0,0,0,1,0,79.9,79.9,1,62,0,3,3394,17112,True,False,False,False,False,True,False
0,0,19,1,0,1,0,1,1,1,1,1,106.6,1934.45,1,43,0,1,3764,40077,True,False,False,False,False,True,False
0,1,64,1,0,0,1,1,1,1,1,1,102.45,6654.1,0,22,1,0,6398,59259,True,False,True,False,True,False,False
0,0,2,1,0,0,0,0,0,0,0,1,46.0,84.5,1,19,0,0,2667,46639,False,False,False,False,True,False,False
0,0,1,0,0,0,0,0,0,0,0,0,25.25,25.25,0,40,0,0,5858,17846,False,False,False,False,False,True,False
0,0,61,1,0,0,0,0,0,0,0,0,19.75,1124.2,0,32,0,2,5411,24977,False,True,False,True,False,False,True
0,1,29,1,0,0,0,0,0,0,0,0,20.0,540.05,0,23,1,0,3800,27424,False,True,True,False,False,True,False
1,1,23,1,1,0,0,0,0,0,1,0,86.8,1975.85,0,66,1,0,5788,42526,True,False,False,False,False,True,False
0,1,57,0,0,1,1,1,0,1,1,1,58.75,3437.45,0,45,1,0,4115,18735,False,False,False,False,False,False,False
0,1,72,0,0,1,1,1,1,0,0,0,45.25,3139.8,0,46,1,0,5041,33057,False,False,False,True,True,False,False
0,1,66,0,0,1,1,1,1,1,0,1,56.6,3789.2,0,38,1,0,5500,25988,False,False,False,True,False,False,False
0,1,65,1,1,0,1,1,1,1,1,1,84.2,5324.5,0,51,1,0,5256,36123,False,False,False,True,False,False,False
0,0,8,1,0,0,0,0,0,1,0,1,80.0,624.6,0,24,0,0,2165,14814,True,False,False,False,False,False,False
0,0,4,1,0,0,0,0,0,0,0,1,70.15,268.35,1,39,0,2,2227,9937,True,False,False,False,False,True,False
0,1,71,1,1,0,0,0,0,0,0,0,24.75,1836.9,0,55,1,0,4642,22177,False,True,False,True,False,False,False
0,1,1,1,0,0,0,0,0,0,0,1,20.2,20.2,0,32,1,0,4160,40376,False,True,True,False,False,True,False
0,1,4,1,0,0,0,0,1,0,0,0,50.05,179.35,1,50,1,0,3394,42239,False,False,False,False,False,False,True
