LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Age,Married,Number of Dependents,Satisfaction Score,CLTV,Churn Category,Churn Reason,Zip Code,Population
185808,7469-LKBCI,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,21,No,0,3,4726,,,90013,9732
158680,8091-TTVAX,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,39,Yes,0,3,6432,,,90014,3524
933642,0280-XJGEX,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,38,No,1,1,5340,Competitor,Competitor had better devices,90015,15140
529260,5129-JLPIS,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,27,No,0,3,5822,,,90016,46984
663513,3655-SNQYZ,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,48,Yes,0,4,5141,,,90017,20692
698246,8191-XWSZG,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,57,No,0,4,5186,,,90018,47143
359335,9959-WOFKT,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,61,No,0,3,4479,,,90019,67520
587516,4190-MFLUW,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,21,Yes,0,1,5925,Competitor,Competitor made better offer,92121,4258
584979,4183-MYFRB,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,30,No,0,3,5982,,,90021,3012
352579,8779-QRDMV,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,78,No,0,3,5433,Competitor,Competitor offered more data,90022,68701
814029,1680-VDCWW,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,45,Yes,0,4,5279,,,90023,47487
792781,1066-JKSGK,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,29,No,0,1,4832,Competitor,Competitor made better offer,90024,44150
960831,3638-WEABW,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,25,Yes,0,3,6407,,,90025,41175
547896,6322-HRPFA,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,42,Yes,2,3,4986,,,90026,73686
861459,6865-JZNKO,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,25,No,0,4,2725,,,90027,48727
100681,6467-CHFZW,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,61,Yes,1,1,5789,Competitor,Competitor had better devices,90028,30568
512358,8665-UTDHZ,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,27,Yes,0,1,2915,Competitor,Competitor had better devices,90029,41713
270829,5248-YGIJN,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,36,Yes,0,3,5974,,,90031,38415
627568,8773-HHUOZ,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,20,No,0,1,3022,Competitor,Competitor offered higher download speeds,90032,46960
203287,3841-NFECX,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,69,Yes,0,4,5309,,,90033,49431
480074,4929-XIHVW,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,79,Yes,0,5,4449,,,90034,58218
810081,6827-IEAUQ,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,46,Yes,0,3,3213,,,90035,27799
607565,7310-EGVHZ,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,35,No,0,5,5526,,,90036,32901
486672,3413-BMNZE,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,71,No,0,3,3144,,,90037,56709
318456,6234-RAAPL,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,60,Yes,0,4,5915,,,90038,32562
962566,6047-YHPVI,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,56,No,3,1,2454,Competitor,Competitor had better devices,90039,29310
871206,6572-ADKRS,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,19,No,0,3,3395,,,90040,9805
720116,5380-WJKOV,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,51,No,1,2,2941,Competitor,Competitor offered higher download speeds,90041,27866
699641,8168-UQWWF,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,48,No,2,3,5674,Competitor,Competitor offered more data,90042,64672
511875,8865-TNMNX,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,53,Yes,0,3,2392,,,90043,44764
739670,9489-DEDVP,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,52,Yes,0,3,4715,,,90044,87383
707270,9867-JCZSP,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,28,Yes,0,4,3646,,,90045,39334
281984,4671-VJLCL,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,36,No,0,3,4595,,,90046,49839
128608,4080-IIARD,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,42,Yes,0,5,2569,,,90047,47107
442160,3714-NTNFO,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,49,No,0,5,6434,,,90048,21739
691520,5948-UJZLF,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,22,No,0,5,3805,,,90049,33523
685792,7760-OYPDY,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,32,No,2,1,5586,Competitor,Competitor had better devices,90056,8115
455606,7639-LIAYI,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,23,No,0,4,4142,,,90057,44004
988482,2954-PIBKO,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,64,Yes,0,3,5128,,,90058,3642
498491,8012-SOUDQ,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,65,No,0,4,2223,,,90059,38128
631740,9420-LOJKX,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,34,No,1,1,2966,Competitor,Competitor offered more data,90061,24511
221059,6575-SUVOI,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,65,Yes,0,4,3154,,,90062,29299
820164,7495-OOKFY,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,74,Yes,1,3,5302,Competitor,Competitor made better offer,90063,55668
208668,4667-QONEA,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,72,Yes,0,3,5153,,,90064,24505
272229,1658-BYGOY,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,71,No,3,2,3179,Competitor,Competitor made better offer,90065,47534
724678,8769-KKTPH,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,44,Yes,0,3,4572,,,90066,55204
838589,5067-XJQFU,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,77,Yes,0,5,4582,,,90067,2527
359123,3957-SQXML,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,61,Yes,0,3,5408,,,90068,21728
475575,5954-BDFSG,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,40,No,0,3,4708,,,90069,20408
151748,0434-CSFON,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,34,Yes,0,3,4488,,,90071,21
956499,1215-FIGMP,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,27,No,0,3,6292,,,90077,10470
945064,0526-SXDJP,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,36,Yes,0,4,6091,,,90201,105285
500094,0557-ASKVU,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,43,Yes,0,5,4948,,,90210,21397
593985,5698-BQJOH,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,41,No,2,3,5571,Price,Price too high,90211,8321
989753,5122-CYFXA,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,53,No,0,3,5387,,,90212,11355
693008,8627-ZYGSZ,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,32,Yes,0,5,3817,,,90220,47305
633992,3410-YOQBQ,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,61,No,0,5,4984,,,90221,51387
392098,3170-NMYVV,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,37,Yes,0,4,5849,,,90222,29825
219609,7410-OIEDU,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,29,No,0,3,5983,,,90230,31963
153973,2273-QCKXA,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,39,No,0,3,3178,,,90232,15195
233816,0731-EBJQB,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,24,Yes,0,3,5482,,,90240,24908
842543,1891-QRQSA,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,71,Yes,0,4,4881,,,90241,40152
870203,8028-PNXHQ,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,40,Yes,0,5,4444,,,90242,42459
246338,5630-AHZIL,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,51,No,3,3,5613,,,90245,16041
381839,2673-CXQEU,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,73,No,0,4,4463,,,90247,47758
797120,6416-JNVRK,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,50,No,0,5,2867,,,90248,9960
821252,5590-ZSKRV,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,62,Yes,1,3,5614,,,90249,26442
918592,0191-ZHSKZ,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,80,No,0,4,3033,,,90250,93315
118422,3887-PBQAO,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,48,Yes,0,4,5741,,,90254,18693
980245,5919-TMRGD,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,32,No,3,1,2483,Competitor,Competitor had better devices,90255,78114
736646,8108-UXRQN,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,23,Yes,1,3,3443,,,90260,33300
779928,9191-MYQKX,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,34,Yes,5,1,3457,Dissatisfaction,Service dissatisfaction,90262,69850
718032,9919-YLNNG,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,38,No,0,4,4005,,,90263,11
204567,0318-ZOPWS,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,31,Yes,0,5,5422,,,90265,19630
136345,4445-ZJNMU,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,30,No,0,3,3540,,,90266,33758
457184,4808-YNLEU,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,51,Yes,0,4,5255,,,90270,28094
726466,1862-QRWPE,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,24,Yes,0,5,4124,,,90272,22548
143316,2796-NNUFI,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,56,Yes,0,5,5480,,,90274,24979
425940,3016-KSVCP,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,47,Yes,0,3,3664,,,90275,41263
195539,4767-HZZHQ,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,32,Yes,3,3,5036,,,90277,34191
708446,2424-WVHPL,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,79,No,0,5,4182,,,90278,37322
667038,7233-PAHHL,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,57,Yes,0,4,5825,,,90280,96267
710672,6067-NGCEU,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,50,No,0,4,5261,,,90290,5451
750199,9848-JQJTX,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,52,No,0,3,5781,,,90291,31021
960651,8637-XJIVR,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,34,No,3,1,5806,Attitude,Attitude of support person,90292,18058
576658,9803-FTJCG,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,50,Yes,0,4,4117,,,90293,11264
108621,0278-YXOOG,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,30,No,0,3,2604,Attitude,Attitude of support person,90301,37527
738919,3212-KXOCR,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,62,No,0,4,4158,,,90302,30779
405965,4598-XLKNJ,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,78,Yes,1,2,5337,Dissatisfaction,Limited range of services,90303,27778
630517,6380-ARCEH,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,19,No,0,3,2710,,,90304,28680
469238,3679-XASPY,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,38,Yes,2,3,5612,,,90305,13779
186668,7123-WQUHX,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,34,No,0,5,4741,,,90401,5221
437350,5386-THSLQ,Yes,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,65,Yes,0,5,6238,,,90402,11509
397972,3192-NQECA,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,26,Yes,0,2,5034,Competitor,Competitor had better devices,90403,23559
462663,6180-YBIQI,No,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,35,No,0,3,4015,,,90404,19975
296997,6728-DKUCO,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,25,Yes,0,3,4594,,,90405,26099
583505,9750-BOOHV,No,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,60,No,0,4,3585,,,90501,40705
532799,8597-CWYHH,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,50,No,0,3,5845,,,90502,17058
853802,2848-YXSMW,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,38,Yes,0,5,5234,,,90503,41979
510010,0486-HECZI,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,37,Yes,1,1,5154,Price,Long distance charges,90504,31678
464187,4549-ZDQYY,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,35,No,0,3,6078,,,90505,34873
849468,5712-AHQNN,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,36,No,0,5,3826,,,90601,32050
527414,4846-WHAFZ,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,80,Yes,1,2,2793,Price,Extra data charges,90602,26265
255175,5256-SKJGO,No,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,48,Yes,0,4,4850,,,90603,19109
159751,3071-VBYPO,No,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,38,Yes,2,3,4648,,,90604,37887
140020,9560-BBZXK,No,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,61,No,0,4,4871,,,90605,38181
194722,5299-RULOA,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,62,Yes,2,2,5998,Price,Price too high,90606,32148
292954,8402-OOOHJ,No,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,53,No,0,5,5918,,,90620,44442
510002,9445-ZUEQE,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,33,Yes,1,3,3796,,,90621,33528
402644,1091-SOZGA,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,27,Yes,0,4,4606,,,90623,15505
442014,2928-HLDBA,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,31,No,0,5,5346,,,90630,47344
602365,0404-SWRVG,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,21,No,2,1,4415,Dissatisfaction,Product dissatisfaction,90631,67354
393285,6497-TILVL,No,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No,20,Yes,2,3,3097,,,90638,47568
305216,7219-TLZHO,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,27,Yes,1,5,3172,,,90640,62425
839293,4622-YNKIJ,No,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No,59,No,0,3,5087,,,90650,103214
237651,4412-YLTKF,Yes,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,72,No,1,1,4638,Competitor,Competitor had better devices,90660,63288
726837,6734-PSBAW,No,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,46,Yes,0,3,5901,,,90670,16271
161109,3930-ZGWVE,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,No,45,No,0,3,2484,,,90680,29694
752152,2639-UGMAZ,Yes,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,No,73,No,0,3,5372,,,90701,16398
438452,2876-GZYZC,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,49,No,0,5,5886,,,90703,51556
